epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,2094.08,0.7799,0.48722,1.05364,0.9044,0.88405,0.93148,0.71239,0.87255,0.52544,1.16547,0.00026825,0.00026825,0.00026825
121,2111.16,0.77537,0.48824,1.06498,0.89918,0.89281,0.92861,0.70883,0.87077,0.53416,1.1652,0.00026,0.00026,0.00026
122,2128.34,0.78384,0.49458,1.06838,0.92583,0.87912,0.93219,0.70943,0.86732,0.53251,1.1586,0.00025175,0.00025175,0.00025175
123,2145.45,0.78931,0.50178,1.06651,0.91705,0.87292,0.93156,0.70813,0.86862,0.53312,1.16406,0.0002435,0.0002435,0.0002435
124,2162.73,0.75651,0.48377,1.04955,0.90649,0.8888,0.93125,0.70773,0.87145,0.53708,1.16471,0.00023525,0.00023525,0.00023525
125,2180.1,0.76929,0.48636,1.05496,0.91747,0.86722,0.92574,0.70762,0.87472,0.54217,1.16139,0.000227,0.000227,0.000227
126,2197.26,0.75447,0.47991,1.04819,0.90215,0.87908,0.9248,0.7046,0.87484,0.54134,1.16415,0.00021875,0.00021875,0.00021875
127,2214.69,0.76588,0.48608,1.05545,0.90964,0.87693,0.92844,0.70759,0.88119,0.5328,1.16712,0.0002105,0.0002105,0.0002105
128,2231.85,0.7576,0.47178,1.04722,0.92496,0.86046,0.93342,0.71022,0.87243,0.52482,1.16226,0.00020225,0.00020225,0.00020225
129,2249.04,0.75797,0.4817,1.04653,0.92013,0.87699,0.93344,0.7121,0.87383,0.51956,1.16743,0.000194,0.000194,0.000194
130,2266.09,0.76768,0.47336,1.04918,0.9268,0.87301,0.93542,0.71002,0.87456,0.52955,1.16449,0.00018575,0.00018575,0.00018575
131,2283.21,0.75792,0.46809,1.04521,0.91926,0.87741,0.92753,0.70789,0.87938,0.52407,1.17242,0.0001775,0.0001775,0.0001775
132,2300.39,0.74943,0.46528,1.03564,0.9164,0.87146,0.93031,0.70954,0.86885,0.52684,1.16111,0.00016925,0.00016925,0.00016925
133,2317.95,0.75181,0.47422,1.03885,0.91218,0.8805,0.92523,0.70738,0.87593,0.52755,1.16667,0.000161,0.000161,0.000161
134,2335.27,0.73212,0.46423,1.0386,0.90696,0.8865,0.92798,0.70822,0.87264,0.5157,1.17024,0.00015275,0.00015275,0.00015275
135,2352.46,0.7405,0.46789,1.04259,0.92051,0.87073,0.9257,0.70991,0.8776,0.52119,1.16976,0.0001445,0.0001445,0.0001445
136,2369.65,0.74874,0.45876,1.04137,0.89654,0.89267,0.92659,0.70929,0.87742,0.52484,1.17203,0.00013625,0.00013625,0.00013625
137,2386.72,0.74972,0.46915,1.04565,0.91287,0.8833,0.92703,0.70868,0.87703,0.51932,1.17151,0.000128,0.000128,0.000128
138,2403.93,0.74857,0.46472,1.03856,0.91458,0.87477,0.9257,0.70625,0.88098,0.52261,1.17908,0.00011975,0.00011975,0.00011975
139,2421.04,0.75717,0.46371,1.04806,0.91895,0.87512,0.92728,0.7079,0.87716,0.52081,1.17241,0.0001115,0.0001115,0.0001115
140,2438.28,0.73375,0.45031,1.03275,0.91627,0.87659,0.92736,0.70917,0.87679,0.52313,1.17019,0.00010325,0.00010325,0.00010325
141,2467.56,0.68662,0.41678,1.00843,0.91792,0.87671,0.92357,0.70501,0.87893,0.53158,1.17034,9.5e-05,9.5e-05,9.5e-05
142,2484.8,0.65062,0.3689,0.97476,0.91818,0.8746,0.92444,0.70722,0.8748,0.5316,1.16656,8.675e-05,8.675e-05,8.675e-05
